Key,Source,Context,Changes,English
aeconPlayerKicked,,Connection App Error,KgNone,"Вы были кикнуты. Пожалуйста, попробуйте другую игру."
aeconUnknown,,Connection App Error,KgNone,"Не удалось подключиться к серверу. Пожалуйста, повторите попытку позже."
aegenGuestProfile,,General App Error,KgNone,"Guеst хbох рrоfilе саnnоt ассеss this fеаturе. Рlеаsе usе а diffеrеnt хbох рrоfilе."
aegenNetOffline,,General App Error,KgNone,"Yоu аrе nоt соnnесtеd tо thе intеrnеt. Рlеаsе rеsоlvе this issuе аnd trу аgаin."
aegenPSNOffline,,GeneralAppError,KgNone,"Yоu аrе nоt соnnесtеd tо thе рlауstаtiоn™nеtwоrk.  Рlеаsе rеsоlvе this issuе аnd trу аgаin."
aegenPSNPrivilege,,General App Error,KgNone,"Ассеss tо рlауstаtiоnфрlus is rеquirеd fоr this fеаturе."
aegenPatch,,General App Error,KgNone,"А раtсh is rеquirеd tо ассеss multiрlауеr fеаturеs."
aegenPrimaryProfile,,Connection App Error,KgNone,"Выход из текущего профиля. Игра выйдет на главный экран."
aegenPrivilegeUCC,,General App Error,KgNone,"Ассеss tо usеr сrеаtеd соntеnt is rеquirеd fоr this fеаturе."
aegenUnknown,,General App Error,KgNone,"Аn unknоwn еrrоr hаs оссurrеd. Рlеаsе trу аgаin lаtеr."
aegenXBLOffline,,General App Error,KgNone,"Yоu аrе nоt соnnесtеd tо хbох livе.  Рlеаsе rеsоlvе this issuе аnd trу аgаin."
aegenXBLPrivilege,,General App Error,KgNone,"Ассеss tо хbох livе is rеquirеd fоr this fеаturе."
aemmNoSessions,,Matchmaking App Error,KgNone,"Тhеrе wеrе nо sеssiоns аvаilаblе.  Рlеаsе stаrt а nеw gаmе оr аdjust уоur sеаrсh сritеriа аnd trу аgаin."
aemmOffline,,Matchmaking App Error,KgNone,"Unаblе tо соnnесt tо thе intеrnеt, рlеаsе trу аgаin lаtеr."
aemmSessionFull,,Connection App Error,KgNone,"Игра, к которой вы собираетесь подключиться, заполнена."
aemmUnknown,,Matchmaking App Error,KgNone,"Аn intеrnаl еrrоr оссurrеd whilе mаtсhmаking.  Рlеаsе trу аgаin."
aemmUnknownPS4,,Matchmaking App Error,KgNone,"Соnnесtiоn tо рlауstаtiоn™nеtwоrk lоst. Сhесk уоur nеtwоrk соnnесtiоn аnd trу аgаin."
aemmUnknownXB1,,Matchmaking App Error,KgNone,"Соnnесtiоn tо хbох livе sеrviсеs lоst. Сhесk уоur nеtwоrk соnnесtiоn аnd trу аgаin."
aemmUserBlocked,,Matchmaking App Error,KgNone,"Тhе gаmе уоu'rе trуing tо jоin соntаins а usеr whо hаs blосkеd уоu."
aemmWrongUser,,Matchmaking App Error,KgNone,"Рlеаsе sign in tо ассерt this invitе."
aemmWrongUserXB1,,Matchmaking App Error,KgNone,"Рlеаsе sign in with {0} tо ассерt this invitе."
air,blocks,Terrain,KgNone,"Воздух"
airConditionVentFan,blocks,Block,New,"Vent Fan"
airConditionVentFanDouble,blocks,Block,New,"Vent Fan, Double"
airConditioner,blocks,Block,KgNone,"Кондиционер"
alcoholPoisoning,buffs,Buff,KgNone,"Опьянение"
alcoholPoisoningDesc,buffs,Buff,EnChanged KgNone,"У вас алкогольное отравление. Может быть длительным, но вам слишком плохо, чтобы определить период."
alcoholPoisoningTooltip,buffs,Buff,KgNone,"У вас алкогольное отравление."
alphabetLetterSignGroupDesc,blocks,Block,EnChanged,"Создавайте собственные таблички с помощью простых букв и чисел."
alreadyKnown,UI,Tooltip,KgNone,"Все рецепты уже изучены"
ammo10mmBulletSchematic,items,Book,LEGACY,"Схема 10-мм патрона"
ammo10mmBulletSchematicDesc,items,Book,LEGACY,"Изучите, чтобы научиться изготавливать боеприпасы данного типа, если у вас имеется специальный навык для этого, или приобретите его, если ещё не сделали этого."
ammo44MagnumBullet,items,Ammo,EnChanged,"Патрон .44 магнум (боеприпас)"
ammo44MagnumBulletAP,items,Ammo,New,"Патрон .44 магнум бп (боеприпас)"
ammo44MagnumBulletAPDesc,items,Ammo,New,"Патрон .44 магнум со свинцовым сердечником, который менее подвержен влиянию брони. Вы сможете изготавливать его после приобретения специального навыка."
ammo44MagnumBulletDesc,items,Ammo,KgNone,"Патрон .44 магнум, используемый в качестве боеприпасов для огнестрела. Вы сможете изготавливать его после приобретения специального навыка."
ammo44MagnumBulletSteel,items,Ammo,New,"Стальной патрон .44 магнум (боеприпас)"
ammo762mmBulletAP,items,Ammo,New,"Патрон 7.62-мм бп (боеприпас)"
ammo762mmBulletAPDesc,items,Ammo,New,"Бронебойный патрон 7.62-мм, используемый в качестве боеприпасов для огнестрела. Он меньше подвержен влияния брони, чем обычный патрон."
ammo762mmBulletFMJ,items,Ammo,EnChanged,"Патрон 7.62-мм (боеприпас)"
ammo762mmBulletFMJDesc,items,Ammo,KgNone,"Обычный охотничий патрон 7.62-мм, используемый в качестве боеприпасов для огнестрела. Вы сможете изготавливать его после приобретения специального навыка."
ammo762mmBulletFMJSchematic,items,Book,KgNone,"Схема патрона 7.62-мм"
ammo762mmBulletFMJSchematicDesc,items,Book,KgNone,"Изучите, чтобы научиться изготавливать боеприпасы данного типа, если у вас имеется специальный навык для этого, или приобретите его, если ещё не сделали этого."
ammo762mmBulletFMJSteel,items,Ammo,New,"Стальной патрон 7.62-мм (боеприпас)"
ammo9mmBullet,items,Ammo,EnChanged,"9-мм патрон (боеприпас)"
ammo9mmBulletDesc,items,Ammo,KgNone,"9-мм патрон, используемый в качестве боеприпасов для огнестрела. Вы сможете изготавливать его после приобретения специального навыка."
ammo9mmBulletJHP,items,Ammo,New,"Экспансивный 9-мм патрон (боеприпас)"
ammo9mmBulletJHPDesc,items,Ammo,New,"Полуоболочечный 9-мм патрон с экспансивной выемкой, используемый в качестве боеприпасов для огнестрела. Очень эффективен против небронированных противников."
ammo9mmBulletSchematic,items,Book,KgNone,"Схема 9-мм патрона"
ammo9mmBulletSchematicDesc,items,Book,KgNone,"Изучите, чтобы научиться изготавливать боеприпасы данного типа, если у вас имеется специальный навык для этого, или приобретите его, если ещё не сделали этого."
ammo9mmBulletSteel,items,Ammo,New,"Стальной 9-мм патрон (боеприпас)"
ammoArrowFlaming,items,Ammo,EnChanged,"Зажигательная стрела (боеприпас)"
ammoArrowFlamingDesc,items,Ammo,KgNone,"Зажигательная стрела наносит наибольший урон, поджигая жертву. Удерживайте кнопку перезарядки для смены типа боеприпасов."
ammoArrowFlamingSchematic,items,Book,KgNone,"Схема зажигательной стрелы"
ammoArrowFlamingSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать зажигательные стрелы."
ammoArrowIron,items,Ammo,EnChanged,"Железная стрела (боеприпас)"
ammoArrowIronDesc,items,Ammo,KgNone,"Железная стрела наносит больше урона, чем обычная каменная стрела. Удерживайте кнопку перезарядки для смены типа боеприпасов."
ammoArrowSteelAP,items,Ammo,EnChanged,"Стальная стрела (боеприпас)"
ammoArrowSteelAPDesc,items,Ammo,EnChanged,"Стрелы со стальным наконечником наносят самый высокий урон и летают прямее.\nУдерживайте кнопку перезарядки для смены типа боеприпасов."
ammoArrowStone,items,Ammo,EnChanged,"Каменная стрела (боеприпас)"
ammoArrowStoneDesc,items,Ammo,EnChanged,"Стрела с каменным наконечником. Боеприпас для лука. Удерживайте кнопку перезарядки для смены типа боеприпасов."
ammoBlunderbuss,items,Ammo,KgNone,"Боеприпасы для мушкета"
ammoBlunderbussDesc,items,Ammo,EnChanged,"Боеприпасы для мушкета изготавливаются из бумаги, пороха и маленьких камней."
ammoCrossbowBoltExploding,items,Ammo,EnChanged,"Разрывной болт (боеприпас)"
ammoCrossbowBoltExplodingDesc,items,Ammo,KgNone,"Стрелковые гранаты, пришедшие из средневековья. Начиная с 6 века и далее."
ammoCrossbowBoltExplodingSchematic,items,Book,KgNone,"Схема разрывного болта"
ammoCrossbowBoltExplodingSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать разрывные арбалетные болты."
ammoCrossbowBoltIron,items,Ammo,EnChanged,"Железный болт (боеприпас)"
ammoCrossbowBoltIronDesc,items,Ammo,EnChanged,"Болт с железным наконечником для арбалета. Удерживайте кнопку перезарядки для смены типа боеприпасов."
ammoCrossbowBoltSteelAP,items,Ammo,EnChanged,"Стальной болт (боеприпас)"
ammoCrossbowBoltSteelAPDesc,items,Ammo,EnChanged,"Болты со стальным наконечником наносят самый высокий урон и летят прямее.\nУдерживайте кнопку перезарядки для смены типа боеприпасов."
ammoCrossbowBoltStone,items,Ammo,EnChanged,"Каменный болт (боеприпас)"
ammoCrossbowBoltStoneDesc,items,Ammo,EnChanged,"Арбалетный болт с каменным наконечником. Удерживайте кнопку перезарядки для смены типа боеприпасов."
ammoDartSteel,items,Ammo,New,"Железный дротик (боеприпас)"
ammoDartSteelDesc,items,Ammo,New,"Используется в качестве боеприпасов для ловушек."
ammoGasCan,items,Item,KgNone,"Канистра с топливом"
ammoGasCanDesc,items,Item,KgNone,"Канистра с топливом. Может быть использована для заправки моторизованных инструментов и транспорта. Изготавливается в количестве 100 штук."
ammoGasCanSchematic,items,Book,KgNone,"Схема канистры с топливом"
ammoGasCanSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать канистру с топливом."
ammoRocketFrag,items,Ammo,EnChanged,"Осколочная ракета (боеприпас)"
ammoRocketFragDesc,items,Ammo,EnChanged,"Осколочная ракета, используемая в качестве боеприпасов для ракетницы, которая может быть изготовлена в кузнице или на верстаке, одна сначала вам придётся изучить навык."
ammoRocketHE,items,Ammo,EnChanged,"Фугасная ракета (боеприпас)"
ammoRocketHEDesc,items,Ammo,EnChanged,"Фугасная ракета, используемая в качестве боеприпасов для ракетницы, которая может быть изготовлена в кузнице или на верстаке, одна сначала вам придётся изучить навык."
ammoShotgunShell,items,Ammo,EnChanged,"Дробовой патрон (боеприпас)"
ammoShotgunShellDesc,items,Ammo,KgNone,"Дробовой патрон, используемый во всех дробовиках. Может быть изготовлен после приобретения навыка о боеприпасах."
ammoShotgunShellSchematic,items,Book,KgNone,"Схема дробового патрона"
ammoShotgunShellSchematicDesc,items,Book,KgNone,"Изучите, чтобы научиться изготавливать боеприпасы данного типа, если у вас имеется специальный навык для этого, или приобретите его, если ещё не сделали этого."
ammoShotgunSlug,items,Ammo,EnChanged,"Пулевой патрон (боеприпас)"
ammoShotgunSlugDesc,items,Ammo,KgNone,"Может быть использована в длинноствольных дробовиках для нанесения увеличенного урона. Может быть изготовлен после приобретения навыка о боеприпасах. Удерживайте кнопку перезарядки для смены типа боеприпасов."
ammoShotgunSlugSchematic,items,Book,KgNone,"Схема пулевого патрона"
ammoShotgunSlugSchematicDesc,items,Book,KgNone,"Станьте королём жизни, научившись изготавливать пулевые патроны после изучения этой схемы."
ammoSteelCasedGroupDesc,items,Ammo,New,"Боеприпасы со стальной гильзой - дешёвая альтернатива медным, однако быстро изнашивают стволы."
ammunitionNationBook,items,Book,KgNone,"Книга «боеприпасы нации»"
ammunitionNationBookDesc,items,Book,KgNone,"После прочтения этой книги вы научитесь изготавливать гильзы и пули для боеприпасов."
animalBear,entityclasses,Entity,KgNone,"Медведь"
animalBoar,entityclasses,Entity,New,"Кабан"
animalChicken,entityclasses,Entity,KgNone,"Курица"
animalDoe,entityclasses,Entity,New,"Олениха"
animalPig,entityclasses,Entity,KgNone,"Свинья"
animalRabbit,entityclasses,Entity,KgNone,"Кролик"
animalStag,entityclasses,Entity,KgNone,"Олень"
animalZombieDog,entityclasses,Entity,KgNone,"Собака-зомби"
animalZombieVulture,entityclasses,Entity,New,"Зомби-стервятник"
armLength,UI,Menu UMA,KgNone,"Длина руки"
armWidth,UI,Menu UMA,KgNone,"Ширина руки"
armorClothBoots,items,Clothes,EnChanged,"Тряпочные ботинки"
armorClothGloves,items,Clothes,EnChanged,"Тряпочные наручи"
armorClothGroupDesc,items,Clothes,New,"Лёгкая броня, не замедляющая вас и обеспечивающая небольшую защиту от повреждений.\nОна не защитит вас от непогоды.\nРемонтируется фрагментами ткани."
armorClothHat,items,Clothes,EnChanged,"Тряпочный капюшон"
armorClothJacket,items,Clothes,EnChanged,"Тряпочная броня"
armorClothPants,items,Clothes,EnChanged,"Тряпочные поножи"
armorFootballHelmet,items,Clothes,KgNone,"Футбольный шлем"
armorFootballHelmetDesc,items,Clothes,KgNone,"Обеспечивает превосходную защиту от оглушения и колющего урона, и вы можете поболеть за любимую команду, если футбол ещё существует.\nРемонтируется кованым железом."
armorFootballHelmetZU,items,Clothes,New,"Футбольный шлем ZU"
armorIronBoots,items,Clothes,KgNone,"Железные ботинки"
armorIronChest,items,Clothes,KgNone,"Железная броня"
armorIronGloves,items,Clothes,KgNone,"Железные наручи"
armorIronGroupDesc,items,Clothes,New,"Тяжёлая броня, замедляющая вас и обеспечивающая хорошую защиту от повреждений.\nОна не защитит вас от непогоды.\nРемонтируется кованым железом."
armorIronHelmet,items,Clothes,KgNone,"Железный шлем"
armorIronLegs,items,Clothes,KgNone,"Железные поножи"
armorLeatherBoots,items,Clothes,KgNone,"Кожаные ботинки"
armorLeatherBootsSchematic,items,Book,KgNone,"Схема кожаных ботинок"
armorLeatherBootsSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать кожаные ботинки."
armorLeatherChest,items,Clothes,KgNone,"Кожаная броня"
armorLeatherChestSchematic,items,Book,KgNone,"Схема кожаной брони"
armorLeatherChestSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать кожаную броню."
armorLeatherGloves,items,Clothes,KgNone,"Кожаные наручи"
armorLeatherGlovesSchematic,items,Book,KgNone,"Схема кожаных наручей"
armorLeatherGlovesSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать кожаные наручи."
armorLeatherGroupDesc,items,Clothes,EnChanged,"Лёгкая броня, не замедляющая вас и обеспечивающая небольшую защиту от повреждений.\nОна не защитит вас от непогоды.\nРемонтируется кожей."
armorLeatherHood,items,Clothes,KgNone,"Кожаный капюшон"
armorLeatherHoodSchematic,items,Book,KgNone,"Схема кожаного капюшона"
armorLeatherHoodSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать кожаный капюшон."
armorLeatherPants,items,Clothes,KgNone,"Кожаные поножи"
armorLeatherPantsSchematic,items,Book,KgNone,"Схема кожаных поножей"
armorLeatherPantsSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать кожаные поножи."
armorMilitaryBoots,items,Clothes,KgNone,"Военные ботинки"
armorMilitaryGloves,items,Clothes,KgNone,"Военные наручи"
armorMilitaryGroupDesc,items,Clothes,KgNone,"Лёгкая броня, не замедляющая вас и обеспечивающая небольшую защиту от повреждений.\nОна не защитит вас от непогоды.\nРемонтируется военным волокном."
armorMilitaryHelmet,items,Clothes,KgNone,"Военный шлем"
armorMilitaryLegs,items,Clothes,KgNone,"Военные поножи"
armorMilitaryVest,items,Clothes,KgNone,"Военный бронежилет"
armorMiningHelmet,items,Clothes,KgNone,"Шахтёрская каска"
armorMiningHelmetDesc,items,Clothes,KgNone,"Каска обеспечивает превосходную защиту от оглушения и колющего урона и имеет дополнительный бонус в виде мобильного источника света. Пещеры больше не будут тёмными для вас.\nРемонтируется кованым железом."
armorSchematicGroupDesc,items,Book,New,"Требуется для изготовления одной части комплекта брони. Ваш собственный навык ремесла может повысить качество."
armorScrapBoots,items,Clothes,KgNone,"Ботинки из металлолома"
armorScrapBootsSchematic,items,Book,New,"Схема ботинок из металлолома"
armorScrapChest,items,Clothes,KgNone,"Броня из металлолома"
armorScrapChestSchematic,items,Book,New,"Схема брони из металлолома"
armorScrapGloves,items,Clothes,KgNone,"Наручи из металлолома"
armorScrapGlovesSchematic,items,Book,New,"Схема наручей из металлолома"
armorScrapHelmet,items,Clothes,KgNone,"Шлем из металлолома"
armorScrapHelmetSchematic,items,Book,New,"Схема шлема из металлолома"
armorScrapIronGroupDesc,items,Clothes,EnChanged,"Тяжёлая броня замедляет вас и обеспечивает хорошую защиту от повреждений.\nОна не защитит вас от непогоды.\nРемонтируется железом (ломом)."
armorScrapLegs,items,Clothes,KgNone,"Поножи из металлолома"
armorScrapLegsSchematic,items,Book,New,"Схема поножей из металлолома"
armorScrapSchematicDesc,items,Book,KgNone,"Узнайте секреты изготовления брони из металлолома, прочитав книгу короля по изобретениям МакДивера."
armorSteelBoots,items,Clothes,New,"Стальные ботинки"
armorSteelBootsSchematic,items,Book,KgNone,"Схема стальных ботинок"
armorSteelBootsSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать стальные ботинки."
armorSteelChest,items,Clothes,New,"Стальная броня"
armorSteelChestSchematic,items,Book,KgNone,"Схема стальной брони"
armorSteelChestSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать стальную броню."
armorSteelGloves,items,Clothes,New,"Стальные наручи"
armorSteelGlovesSchematic,items,Book,KgNone,"Схема стальных наручей"
armorSteelGlovesSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать стальные наручи."
armorSteelGroupDesc,items,Clothes,EnChanged,"Тяжёлая броня замедляет вас и обеспечивает хорошую защиту от повреждений.\nОна не защитит вас от непогоды.\nРемонтируется кованой сталью."
armorSteelHelmet,items,Clothes,New,"Стальной шлем"
armorSteelHelmetSchematic,items,Book,KgNone,"Схема стального шлема"
armorSteelHelmetSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать стальной шлем."
armorSteelLegs,items,Clothes,New,"Стальные поножи"
armorSteelLegsSchematic,items,Book,KgNone,"Схема стальных поножей"
armorSteelLegsSchematicDesc,items,Book,KgNone,"После изучения этой схемы вы научитесь изготавливать стальные поножи."
armorSwatHelmet,items,Clothes,KgNone,"Шлем спецназа"
armorSwatHelmetDesc,items,Clothes,KgNone,"Шлем спецназа второй по защите после военного шлема.\nРемонтируется кованым железом."
armyPants,items,Clothes,KgNone,"Боевая унифрома (низ)"
armyShirt,items,Clothes,KgNone,"Боевая унифрома (верх)"
arrowHelper,blocks,Block,New,"Стрелка-помощник"
arrowSlit,blocks,Block,New,"Бойница"
attAgilityDesc,progression,Attribute,New,"Ловкость - показатель вашего атлетического мастерства. Увеличение ловкости повышает максимум выносливости."
attAgilityName,progression,Attribute,New,"Атрибут: Ловкость"
attAgilityRank10Desc,progression,Attribute,New,"Вы уже готовы к триатлону. Увеличивает максимум выносливости до 200."
attAgilityRank1Desc,progression,Attribute,New,"Ловкость - не ваша сильная сторона, но с практикой всё станет возможным."
attAgilityRank2Desc,progression,Attribute,New,"Увеличивает максимум выносливости до 110."
attAgilityRank3Desc,progression,Attribute,New,"Увеличивает максимум выносливости до 120."
attAgilityRank4Desc,progression,Attribute,New,"Увеличивает максимум выносливости до 130."
attAgilityRank5Desc,progression,Attribute,New,"Увеличивает максимум выносливости до 140."
attAgilityRank6Desc,progression,Attribute,New,"Увеличивает максимум выносливости до 150."
attAgilityRank7Desc,progression,Attribute,New,"Увеличивает максимум выносливости до 160."
attAgilityRank8Desc,progression,Attribute,New,"Увеличивает максимум выносливости до 170."
attAgilityRank9Desc,progression,Attribute,New,"Увеличивает максимум выносливости до 180."
attFortitudeDesc,progression,Attribute,New,"Стойкость - показатель вашей физической устойчивости. Увеличение стойкости повышает\nмаксимум здоровья."
attFortitudeName,progression,Attribute,New,"Атрибут: Стойкость"
attFortitudeRank10Desc,progression,Attribute,New,"Человек-танк. Увеличивает максимум здоровья до 200"
attFortitudeRank1Desc,progression,Attribute,New,"Вы не очень стойки, но, по крайней мере, живы."
attFortitudeRank2Desc,progression,Attribute,New,"Увеличивает максимум здоровья до 110."
attFortitudeRank3Desc,progression,Attribute,New,"Увеличивает максимум здоровья до 120."
attFortitudeRank4Desc,progression,Attribute,New,"Увеличивает максимум здоровья до 130."
attFortitudeRank5Desc,progression,Attribute,New,"Увеличивает максимум здоровья до 140."
attFortitudeRank6Desc,progression,Attribute,New,"Увеличивает максимум здоровья до 150."
attFortitudeRank7Desc,progression,Attribute,New,"Увеличивает максимум здоровья до 160."
attFortitudeRank8Desc,progression,Attribute,New,"Увеличивает максимум здоровья до 170."
attFortitudeRank9Desc,progression,Attribute,New,"Увеличивает максимум здоровья до 180."
attIntellectDesc,progression,Attribute,New,"Интеллект - показатель ваших умственных способностей. Увеличение интеллекта повышает качество изготавливаемых предметов и получаемый опыт."
attIntellectName,progression,Attribute,New,"Атрибут: Интеллект"
attIntellectRank10Desc,progression,Attribute,New,"Вы можете изготавливать предметы безупречного качества. Создание предметов на 90% быстрее."
attIntellectRank1Desc,progression,Attribute,New,"Вы можете изготавливать предметы некачественные предметы."
attIntellectRank2Desc,progression,Attribute,New,"Вы можете изготавливать предметы низкого качества. Создание предметов на 10% быстрее."
attIntellectRank3Desc,progression,Attribute,New,"Создание предметов на 20% быстрее."
attIntellectRank4Desc,progression,Attribute,New,"Вы можете изготавливать предметы среднего качества. Создание предметов на 30% быстрее. "
attIntellectRank5Desc,progression,Attribute,New,"Создание предметов на 40% быстрее."
attIntellectRank6Desc,progression,Attribute,New,"Вы можете изготавливать предметы хорошего качества. Создание предметов теперь на 50% быстрее."
attIntellectRank7Desc,progression,Attribute,New,"Создание предметов на 60% быстрее."
attIntellectRank8Desc,progression,Attribute,New,"Вы можете изготавливать предметы превосходного качества. Создание предметов на 70% быстрее."
attIntellectRank9Desc,progression,Attribute,New,"Создание предметов на 80% быстрее."
attPerceptionDesc,progression,Attribute,New,"Восприятие - показатель вашей чувствительности. Увеличение восприятия повышает урон огнестрельного оружия."
attPerceptionName,progression,Attribute,New,"Атрибут: Восприятие"
attPerceptionRank10Desc,progression,Attribute,New,"Знайте слабое место своего врага. Увеличивает урон от оружия дальнего боя на 50%."
attPerceptionRank1Desc,progression,Attribute,New,"Вы можете поразить свою цель оружием дальнего боя, но вы не наносите большого урона."
attPerceptionRank2Desc,progression,Attribute,New,"Увеличивает урон от оружия дальнего боя на 5%."
attPerceptionRank3Desc,progression,Attribute,New,"Увеличивает урон от оружия дальнего боя на 10%."
attPerceptionRank4Desc,progression,Attribute,New,"Увеличивает урон от оружия дальнего боя на 15%."
attPerceptionRank5Desc,progression,Attribute,New,"Увеличивает урон от оружия дальнего боя на 20%."
attPerceptionRank6Desc,progression,Attribute,New,"Увеличивает урон от оружия дальнего боя на 25%."
attPerceptionRank7Desc,progression,Attribute,New,"Увеличивает урон от оружия дальнего боя на 30%."
attPerceptionRank8Desc,progression,Attribute,New,"Увеличивает урон от оружия дальнего боя на 35%."
attPerceptionRank9Desc,progression,Attribute,New,"Увеличивает урон от оружия дальнего боя на 40%."
attStrengthDesc,progression,Attribute,New,"Сила - показатель вашей мышечной силы. Увеличение силы повышает урон в ближнем бою и по блокам инструментами."
attStrengthName,progression,Attribute,New,"Атрибут: Сила"
attStrengthRank10Desc,progression,Attribute,New,"Мистер Олимпия бы гордился. Увеличивает урон в ближнем бою и по блоку на 50%"
attStrengthRank1Desc,progression,Attribute,New,"Каждый хочет быть культуристом, но никто не хочет жить с тяжёлой задницей."
attStrengthRank2Desc,progression,Attribute,New,"Увеличивает урон в ближнем бою и по блоку на 5%"
attStrengthRank3Desc,progression,Attribute,New,"Увеличивает урон в ближнем бою и по блоку на 10%"
attStrengthRank4Desc,progression,Attribute,New,"Увеличивает урон в ближнем бою и по блоку на 15%"
attStrengthRank5Desc,progression,Attribute,New,"Увеличивает урон в ближнем бою и по блоку на 20%"
attStrengthRank6Desc,progression,Attribute,New,"Увеличивает урон в ближнем бою и по блоку на 25%"
attStrengthRank7Desc,progression,Attribute,New,"Увеличивает урон в ближнем бою и по блоку на 30%"
attStrengthRank8Desc,progression,Attribute,New,"Увеличивает урон в ближнем бою и по блоку на 35%"
attStrengthRank9Desc,progression,Attribute,New,"Увеличивает урон в ближнем бою и по блоку на 40%"
attagility,progression,Attribute,New,"Ловкость"
attfortitude,progression,Attribute,New,"Стойкость"
attintellect,progression,Attribute,New,"Интеллект"
attperception,progression,Attribute,New,"Восприятие"
attstrength,progression,Attribute,New,"Сила"
auth_Banned,UI,AuthenticationMessages,New,"Вы забанены до {0}"
auth_DuplicatePlayerID,UI,AuthenticationMessages,New,"Ваша учётная запись Steam уже используется на этом сервере!"
auth_DuplicatePlayerName,UI,AuthenticationMessages,New,"Игрок с именем «{0}» уже существует на этом сервере! Пожалуйста, выберите другое."
auth_EmptyNameOrPlayerID,UI,AuthenticationMessages,New,"Имя игрока не может быть пустым!"
auth_InvalidAuthTicket,UI,AuthenticationMessages,New,"Ваши данные аутентификации являются недействительными!"
auth_InvalidSteamID,UI,AuthenticationMessages,New,"Ваш SteamID недействителен!"
auth_ManualKick,UI,AuthenticationMessages,New,"Вы были исключены."
auth_NotOnWhitelist,UI,AuthenticationMessages,New,"Вы не добавлены в белый лист этого сервера!"
auth_PlayerLimitExceeded,UI,AuthenticationMessages,New,"На сервере слишком много игроков! Доступно: {0}"
auth_PlayerLimitExceededNonVIP,UI,AuthenticationMessages,New,"Все незарезервированные слоты на этом сервере уже заняты! Незарезервированные слоты: {0}"
auth_VersionMismatch,UI,AuthenticationMessages,New,"Несоответствие версии игры: у вас «{0}», а на сервере «{1}»"
auth_gamepaused,UI,AuthenticationMessages,New,"Сервер сейчас приостановлен."
auth_messageTitle,UI,AuthenticationMessages,New,"Вы отключены от сервера:"
auth_mod,UI,AuthenticationMessages,New,"Вход запрещён модом."
auth_reason,UI,AuthenticationMessages,KgNone,"Причина: {0}"
